cde_id	source	source_file	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	amp_units	parked
357	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10d_rls	RBD 10d RLS	No | Yes			false
358	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10e_narcolepsy	RBD 10e Narcolepsy	No | Yes			false
359	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10f_depression	RBD 10f Depression	No | Yes			false
360	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10g_epilepsy	RBD 10g Epilepsy	No | Yes			false
361	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10h_brain_inflammatory_disease	RBD 10h Inflammatory Disease Of The Brain	No | Yes			false
362	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10i_other	RBD 10i Other	No | Yes			false
363	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd_info_source	RBD Source Of Information	Patient | Patient and Caregiver | Caregiver			false
364	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd_summary_score	RBD Summary Score	0 - 13			false
365	AMP-PD	DTI_dictionary.csv	ref1_left_reference	Left Reference	0-1			false
366	AMP-PD	DTI_dictionary.csv	ref2_right_reference	Right Reference	0-1			false
367	AMP-PD	DTI_dictionary.csv	roi1_left_rostral	Left Rostral	0-1			false
368	AMP-PD	DTI_dictionary.csv	roi2_left_middle	Left Middle	0-1			false
369	AMP-PD	DTI_dictionary.csv	roi3_left_caudal	Left Caudal	0-1			false
370	AMP-PD	DTI_dictionary.csv	roi4_right_rostral	Right Rostral	0-1			false
371	AMP-PD	DTI_dictionary.csv	roi5_right_middle	Right Middle	0-1			false
372	AMP-PD	DTI_dictionary.csv	roi6_right_caudal	Right Caudal	0-1			false
374	AMP-PD	DaTSCAN_SBR_dictionary.csv	sbr_caudate_l	Brain region used for ROI sampling for SBR quantitative analysis - left caudate SBR	0-5			false
375	AMP-PD	DaTSCAN_SBR_dictionary.csv	sbr_caudate_r	Brain region used for ROI sampling for SBR quantitative analysis - right caudate SBR	0-5			false
376	AMP-PD	DaTSCAN_SBR_dictionary.csv	sbr_putamen_l	Brain region used for ROI sampling for SBR quantitative analysis - left putamen SBR	0-5			false
377	AMP-PD	DaTSCAN_SBR_dictionary.csv	sbr_putamen_r	Brain region used for ROI sampling for SBR quantitative analysis - right putamen SBR	0-5			false
378	AMP-PD	DaTSCAN_visual_interpretation_dictionary.csv	scan_months_after_baseline	Number of months after baseline visit at which DaTSCAN scan occurred; negative values indicate scan occurred before baseline				false
379	AMP-PD	UPSIT_dictionary.csv	score_from_booklet_1	UPSIT Score From Booklet #1	0 - 10			false
380	AMP-PD	UPSIT_dictionary.csv	score_from_booklet_2	UPSIT Score From Booklet #2	0 - 10			false
381	AMP-PD	UPSIT_dictionary.csv	score_from_booklet_3	UPSIT Score From Booklet #3	0 - 10			false
382	AMP-PD	UPSIT_dictionary.csv	score_from_booklet_4	UPSIT Score From Booklet #4	0 - 10			false
383	AMP-PD	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	sex	Sex	Male;Female;Unknown			false
384	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	smell_detail	UPSIT 40 smell test score	[0-40] | NA			false
385	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	smoke_exposure_home	How many hours a day are you exposed to the cigarette smoke of others (on average) at home?	0 - 15			false
386	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	smoke_exposure_other_areas	How many hours a day are you exposed to the cigarette smoke of others (on average) in other areas?	0 - 10			false
387	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	smoke_exposure_work	How many hours a day are you exposed to the cigarette smoke of others (on average) at work?	0 - 10			false
388	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	smoked_100_more_cigarettes	Current tobacco use indicator	Yes | No | Unknown			false
389	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	spect_pet_perf	SPECT or PET perfusion scan showing occipital hypometabolism	Yes | No | NA			false
395	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_current_use	Indicator of whether in your lifetime subject have smoked 100 or more cigarettes (5 packs)	Yes | No | Unknown			false
396	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_ever_used	Indicator of whether subject has ever used tobacco	Yes | No | Unknown			false
397	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_prior_use	Indicator of the participant's/subject's past regular tobacco (e.g. cigarettes, cigars, chewing tobacco or pipe) use prior to the past 12 months	Yes | No | Unknown			false
399	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_recent_use	Tobacco recent use indicator	Yes | No | Unknown			false
400	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_start_age	Age in years when participant/subject started using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)	6 - 75			false
401	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_stop_age	Age in years when participant/subject stopped using tobacco products (e.g. cigarettes, cigars, chewing tobacco or pipe)	13 - 85			false
402	AMP-PD	UPDRS_dictionary.csv	upd101_intellect_impairment	UPDRS - Mentation, Behavior and Mood: Intellectual Impairment (UPD101)	0 - 4			false
403	AMP-PD	UPDRS_dictionary.csv	upd102_thought_disorder	UPDRS - Mentation, Behavior and Mood: Thought Disorder (UPD102)	0 - 4			false
404	AMP-PD	UPDRS_dictionary.csv	upd103_depression	UPDRS - Mentation, Behavior and Mood: Depression (UPD103)	0 - 4			false
405	AMP-PD	UPDRS_dictionary.csv	upd104_motivation	UPDRS - Mentation, Behavior and Mood: Motivation/Initiative (UPD104)	0 - 4			false
406	AMP-PD	UPDRS_dictionary.csv	upd105_speech	UPDRS - Activities of Daily Living: Speech (UPD105)	0 - 4			false
407	AMP-PD	UPDRS_dictionary.csv	upd106_salivation	UPDRS - Activities of Daily Living: Salivation (UPD106)	0 - 4			false
408	AMP-PD	UPDRS_dictionary.csv	upd107_swallowing	UPDRS - Activities of Daily Living: Swallowing (UPD107)	0 - 4			false
409	AMP-PD	UPDRS_dictionary.csv	upd108_handwriting	UPDRS - Activities of Daily Living: Handwriting (UPD108)	0 - 4			false
410	AMP-PD	UPDRS_dictionary.csv	upd109_cutting_food	UPDRS - Activities of Daily Living: Cutting Food and Handling Utensils (UPD109)	0 - 4			false
411	AMP-PD	UPDRS_dictionary.csv	upd110_dressing	UPDRS - Activities of Daily Living: Dressing (UPD110)	0 - 4			false
412	AMP-PD	UPDRS_dictionary.csv	upd111_hygiene	UPDRS - Activities of Daily Living: Hygiene (UPD111)	0 - 4			false
413	AMP-PD	UPDRS_dictionary.csv	upd112_turning_in_bed	UPDRS - Activities of Daily Living: Turning in Bed and Adjusting Bed Clothes (UPD112)	0 - 4			false
414	AMP-PD	UPDRS_dictionary.csv	upd113_falling	UPDRS - Activities of Daily Living: Falling (UPD113)	0 - 4			false
415	AMP-PD	UPDRS_dictionary.csv	upd114_freezing_walking	UPDRS - Activities of Daily Living: Freezing When Walking (UPD114)	0 - 4			false
416	AMP-PD	UPDRS_dictionary.csv	upd115_walking	UPDRS - Activities of Daily Living: Walking (UPD115)	0 - 4			false
417	AMP-PD	UPDRS_dictionary.csv	upd116_tremor	UPDRS - Activities of Daily Living: Tremor (UPD116)	0 - 4			false
418	AMP-PD	UPDRS_dictionary.csv	upd117_sensory_complaints	UPDRS - Activities of Daily Living: Sensory Complaints Related to Parkinsonism (UPD117)	0 - 4			false
419	AMP-PD	UPDRS_dictionary.csv	upd118_speech	UPDRS - Motor Examination: Speech (UPD118)	0 - 4			false
420	AMP-PD	UPDRS_dictionary.csv	upd119_facial_expression	UPDRS - Motor Examination: Facial Expression (UPD119)	0 - 4			false
421	AMP-PD	UPDRS_dictionary.csv	upd120a_tremor_face_lips_chin	UPDRS - Motor Examination: Tremor at Rest, Face, Lips, Chin (UPD120A)	0 - 4			false
422	AMP-PD	UPDRS_dictionary.csv	upd120b_tremor_rest_hand_rt	UPDRS - Motor Examination: Tremor at Rest, Hands, Right (UPD120B)	0 - 4			false
423	AMP-PD	UPDRS_dictionary.csv	upd120c_tremor_rest_hand_lt	UPDRS - Motor Examination: Tremor at Rest, Hands, Left (UPD120C)	0 - 4			false
424	AMP-PD	UPDRS_dictionary.csv	upd120d_tremor_rest_feet_rt	UPDRS - Motor Examination: Tremor at Rest, Feet, Right (UPD120D)	0 - 4			false
425	AMP-PD	UPDRS_dictionary.csv	upd120e_tremor_rest_feet_lt	UPDRS - Motor Examination: Tremor at Rest, Feet, Left (UPD120E)	0 - 4			false
426	AMP-PD	UPDRS_dictionary.csv	upd121a_action_tremor_hand_rt	UPDRS - Motor Examination: Action Tremor, Hand, Right (UPD121A)	0 - 4			false
427	AMP-PD	UPDRS_dictionary.csv	upd121b_action_tremor_hand_left	UPDRS - Motor Examination: Action Tremor, Hand, Left (UPD121B)	0 - 4			false
428	AMP-PD	UPDRS_dictionary.csv	upd122a_rigidity_neck	UPDRS - Motor Examination: Rigidity Neck (UPD122A)	0 - 4			false
429	AMP-PD	UPDRS_dictionary.csv	upd122b_rigidity_up_extrem_rt	UPDRS - Motor Examination: Rigidity Upper Extremity, Right (UPD122B)	0 - 4			false
430	AMP-PD	UPDRS_dictionary.csv	upd122c_rigidity_up_extrem_lt	UPDRS - Motor Examination: Rigidity Upper Extremity, Left (UPD122C)	0 - 4			false
431	AMP-PD	UPDRS_dictionary.csv	upd122d_rigidity_low_extrem_rt	UPDRS - Motor Examination: Rigidity Lower Extremity, Right (UPD122D)	0 - 4			false
432	AMP-PD	UPDRS_dictionary.csv	upd122e_rigidity_low_extrem_lt	UPDRS - Motor Examination: Rigidity Lower Extremity, Left (UPD122E)	0 - 4			false
433	AMP-PD	UPDRS_dictionary.csv	upd123a_finger_taps_right	UPDRS - Motor Examination: Finger Taps, Right (UPD123A)	0 - 4			false
434	AMP-PD	UPDRS_dictionary.csv	upd123b_finger_taps_left	UPDRS - Motor Examination: Finger Taps, Left (UPD123B)	0 - 4			false
435	AMP-PD	UPDRS_dictionary.csv	upd124a_hand_grips_right	UPDRS - Motor Examination: Hand Grips, Right (UPD124A)	0 - 4			false
436	AMP-PD	UPDRS_dictionary.csv	upd124b_hand_grips_left	UPDRS - Motor Examination: Hand Grips, Left (UPD124B)	0 - 4			false
437	AMP-PD	UPDRS_dictionary.csv	upd125a_hand_pronate_supinate_rt	UPDRS - Motor Examination: Hand Pronate/Supinate, Right (UPD125A)	0 - 4			false
438	AMP-PD	UPDRS_dictionary.csv	upd125b_hand_pronate_supinate_lt	UPDRS - Motor Examination: Hand Pronate/Supinate, Left (UPD125B)	0 - 4			false
439	AMP-PD	UPDRS_dictionary.csv	upd126a_leg_agility_rt	UPDRS - Motor Examination: Leg Agility, Right (UPD126A)	0 - 4			false
440	AMP-PD	UPDRS_dictionary.csv	upd126b_leg_agility_lt	UPDRS - Motor Examination: Leg Agility, Left (UPD126B)	0 - 4			false
441	AMP-PD	UPDRS_dictionary.csv	upd127_arising_from_chair	UPDRS - Motor Examination: Arising from Chair (UPD127)	0 - 4			false
442	AMP-PD	UPDRS_dictionary.csv	upd128_posture	UPDRS - Motor Examination: Posture (UPD128)	0 - 4			false
443	AMP-PD	UPDRS_dictionary.csv	upd129_gait	UPDRS - Motor Examination: Gait (UPD129)	0 - 4			false
444	AMP-PD	UPDRS_dictionary.csv	upd130_postural_stability	UPDRS - Motor Examination: Postural Stability (UPD130)	0 - 4			false
445	AMP-PD	UPDRS_dictionary.csv	upd131_body_bradykinesia	UPDRS - Motor Examination: Body Bradykinesia and Hypokinesia (UPD131)	0 - 4			false
446	AMP-PD	UPDRS_dictionary.csv	upd132_dyskinesias_duration	UPDRS - Complications of Therapy: Dyskinesias - Duration (UPD132)	0 - 4			false
447	AMP-PD	UPDRS_dictionary.csv	upd133_dyskinesias_disability	UPDRS - Complications of Therapy: Dyskinesias - Disability (UPD133)	0 - 4			false
448	AMP-PD	UPDRS_dictionary.csv	upd134_dyskinesias_painful	UPDRS - Complications of Therapy: Dyskinesias - Painful Dyskinesias (UPD134)	0 - 4			false
449	AMP-PD	UPDRS_dictionary.csv	upd135_dyskinesias_dystonia	UPDRS - Complications of Therapy: Dyskinesias - Presence of Early Morning Dystonia (UPD135)	0 - 1			false
450	AMP-PD	UPDRS_dictionary.csv	upd136_off_periods_predictable	UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Predictable (UPD136)	0 - 1			false
451	AMP-PD	UPDRS_dictionary.csv	upd137_off_periods_unpredictable	UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Unpredictable (UPD137)	0 - 1			false
452	AMP-PD	UPDRS_dictionary.csv	upd138_off_periods_sudden	UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Sudden (UPD138)	0 - 1			false
453	AMP-PD	UPDRS_dictionary.csv	upd139_clin_fluctu_off_periods	UPDRS - Complications of Therapy: Clinical Fluctuations - Average Off Periods Per Day (UPD139)	0 - 4			false
454	AMP-PD	UPDRS_dictionary.csv	upd140_anorexia_nausea_vomit	UPDRS - Complications of Therapy: Other Complications - Anorexia, Nausea, or Vomiting (UPD140)	0 - 1			false
455	AMP-PD	UPDRS_dictionary.csv	upd141_sleep_disturbances	UPDRS - Complications of Therapy: Other Complications - Sleep Disturbances (UPD141)	0 - 1			false
456	AMP-PD	UPDRS_dictionary.csv	upd142_symptomatic_orthostasis	UPDRS - Complications of Therapy: Other Complications - Symptomatic Orthostasis (UPD142)	0 - 1			false
457	AMP-PD	UPDRS_dictionary.csv	upd143_mod_hoehn_and_yahr_stage	UPDRS - Modified Hoehn and Yahr Staging (UPD143)	0 - 5			false
458	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2101_cognitive_impairment	1.01 MDS-UPDRS - Cognitive Impairment (UPD2101)	Normal | Slight | Mild | Moderate | Severe			false
459	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2102_hallucinations_and_psychosis	1.02 MDS-UPDRS - Hallucinations and Psychosis (UPD2102)	Normal | Slight | Mild | Moderate | Severe			false
460	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2103_depressed_mood	1.03 MDS-UPDRS - Depressed Mood (UPD2103)	Normal | Slight | Mild | Moderate | Severe			false
461	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2104_anxious_mood	1.04 MDS-UPDRS - Anxious Mood (UPD2104)	Normal | Slight | Mild | Moderate | Severe			false
462	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2105_apathy	1.05 MDS-UPDRS - Apathy (UPD2105)	Normal | Slight | Mild | Moderate | Severe			false
463	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2106_dopamine_dysregulation_syndrome_features	1.06 MDS-UPDRS - Features of Dopamine Dysregulation Syndrome (UPD2106)	Normal | Slight | Mild | Moderate | Severe			false
464	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2107_pat_quest_sleep_problems	1.07 MDS-UPDRS - Sleep Problems (UPD2107)	Normal | Slight | Mild | Moderate | Severe			false
465	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2108_pat_quest_daytime_sleepiness	1.08 MDS-UPDRS - Daytime Sleepiness (UPD2108)	Normal | Slight | Mild | Moderate | Severe			false
466	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2109_pat_quest_pain_and_other_sensations	1.09 MDS-UPDRS - Pain And Other Sensations (UPD2109)	Normal | Slight | Mild | Moderate | Severe			false
467	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2110_pat_quest_urinary_problems	1.10 MDS-UPDRS - Urinary Problems (UPD2110)	Normal | Slight | Mild | Moderate | Severe			false
468	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2111_pat_quest_constipation_problems	1.11 MDS-UPDRS - Constipation Problems (UPD2111)	Normal | Slight | Mild | Moderate | Severe			false
469	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2112_pat_quest_lightheadedness_on_standing	1.12 MDS-UPDRS - Lightheadedness on Standing (UPD2112)	Normal | Slight | Mild | Moderate | Severe			false
470	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	upd2113_pat_quest_fatigue	1.13 MDS-UPDRS - Fatigue (UPD2113)	Normal | Slight | Mild | Moderate | Severe			false
471	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2201_speech	2.01 MDS-UPDRS - Speech (UPD2201)	Normal | Slight | Mild | Moderate | Severe			false
472	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2202_saliva_and_drooling	2.02 MDS-UPDRS - Saliva And Drooling (UPD2202)	Normal | Slight | Mild | Moderate | Severe			false
473	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2203_chewing_and_swallowing	2.03 MDS-UPDRS - Chewing And Swallowing (UPD2203)	Normal | Slight | Mild | Moderate | Severe			false
474	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2204_eating_tasks	2.04 MDS-UPDRS - Eating Tasks (UPD2204)	Normal | Slight | Mild | Moderate | Severe			false
475	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2205_dressing	2.05 MDS-UPDRS - Dressing (UPD2205)	Normal | Slight | Mild | Moderate | Severe			false
476	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2206_hygiene	2.06 MDS-UPDRS - Hygiene (UPD2206)	Normal | Slight | Mild | Moderate | Severe			false
477	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2207_handwriting	2.07 MDS-UPDRS - Handwriting (UPD2207)	Normal | Slight | Mild | Moderate | Severe			false
478	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2208_doing_hobbies_and_other_activities	2.08 MDS-UPDRS - Doing Hobbies And Other Activities (UPD2208)	Normal | Slight | Mild | Moderate | Severe			false
479	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2209_turning_in_bed	2.09 MDS-UPDRS - Turning In Bed (UPD2209)	Normal | Slight | Mild | Moderate | Severe			false
480	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2210_tremor	2.10 MDS-UPDRS - Tremor (UPD2210)	Normal | Slight | Mild | Moderate | Severe			false
481	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2211_get_out_of_bed_car_or_deep_chair	2.11 MDS-UPDRS - Get Out Of Bed, Car, Or Deep Chair (UPD2211)	Normal | Slight | Mild | Moderate | Severe			false
482	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2212_walking_and_balance	2.12 MDS-UPDRS - Walking And Balance (UPD2212)	Normal | Slight | Mild | Moderate | Severe			false
483	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	upd2213_freezing	2.13 MDS-UPDRS - Freezing (UPD2213)	Normal | Slight | Mild | Moderate | Severe			false
484	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2301_speech_problems	3.01 MDS-UPDRS - Speech Problems (UPD2301)	Normal | Slight | Mild | Moderate | Severe			false
485	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2302_facial_expression	3.02 MDS-UPDRS - Facial Expression (UPD2302)	Normal | Slight | Mild | Moderate | Severe			false
486	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2303a_rigidity_neck	3.03a MDS-UPDRS - Rigidity Neck (UPD2303A)	Normal | Slight | Mild | Moderate | Severe			false
487	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2303b_rigidity_rt_upper_extremity	3.03b MDS-UPDRS - Rigidity Right Upper Extremity (UPD2303B)	Normal | Slight | Mild | Moderate | Severe			false
488	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2303c_rigidity_left_upper_extremity	3.03c MDS-UPDRS - Rigidity Left Upper Extremity (UPD2303C)	Normal | Slight | Mild | Moderate | Severe			false
489	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2303d_rigidity_rt_lower_extremity	3.03e MDS-UPDRS - Rigidity Left Lower Extremity	Normal | Slight | Mild | Moderate | Severe			false
490	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2303e_rigidity_left_lower_extremity	3.03e MDS-UPDRS - Rigidity Left Lower Extremity (UPD2303E)	Normal | Slight | Mild | Moderate | Severe			false
491	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2304a_right_finger_tapping	3.04a MDS-UPDRS - Right Finger Tapping (UPD2304A)	Normal | Slight | Mild | Moderate | Severe			false
492	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2304b_left_finger_tapping	3.04b MDS-UPDRS - Left Finger Tapping (UPD2304B)	Normal | Slight | Mild | Moderate | Severe			false
493	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2305a_right_hand_movements	3.05a MDS-UPDRS - Right Hand Movements (UPD2305A)	Normal | Slight | Mild | Moderate | Severe			false
494	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2305b_left_hand_movements	3.05b MDS-UPDRS - Left Hand Movements (UPD2305B)	Normal | Slight | Mild | Moderate | Severe			false
495	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2306a_pron_sup_movement_right_hand	3.06a MDS-UPDRS - Pronanation-Supination Movement Of Right Hand (UPD2306A)	Normal | Slight | Mild | Moderate | Severe			false
496	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2306b_pron_sup_movement_left_hand	3.06b MDS-UPDRS - Pronanation-Supination Movement Of Left Hand (UPD2306B)	Normal | Slight | Mild | Moderate | Severe			false
497	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2307a_right_toe_tapping	3.07a MDS-UPDRS - Right Toe Tapping (UPD2307A)	Normal | Slight | Mild | Moderate | Severe			false
498	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2307b_left_toe_tapping	3.07b MDS-UPDRS - Left Toe Tapping (UPD2307B)	Normal | Slight | Mild | Moderate | Severe			false
499	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2308a_right_leg_agility	3.08a MDS-UPDRS - Right Leg Agility (UPD2308A)	Normal | Slight | Mild | Moderate | Severe			false
500	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2308b_left_leg_agility	3.08b MDS-UPDRS - Left Leg Agility (UPD2308B)	Normal | Slight | Mild | Moderate | Severe			false
501	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2309_arising_from_chair	3.09 MDS-UPDRS - Arising from Chair (UPD2309)	Normal | Slight | Mild | Moderate | Severe			false
502	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2310_gait	3.10 MDS-UPDRS - Gait (UPD2310)	Normal | Slight | Mild | Moderate | Severe			false
503	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2311_freezing_of_gait	3.11 MDS-UPDRS - Freezing Of Gait (UPD2311)	Normal | Slight | Mild | Moderate | Severe			false
504	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2312_postural_stability	3.12 MDS-UPDRS - Postural Stability (UPD2312)	Normal | Slight | Mild | Moderate | Severe			false
505	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2313_posture	3.13 MDS-UPDRS - Posture (UPD2313)	Normal | Slight | Mild | Moderate | Severe			false
506	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2314_body_bradykinesia	3.14 MDS-UPDRS - Body Bradykinesia (UPD2314)	Normal | Slight | Mild | Moderate | Severe			false
507	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2315a_postural_tremor_of_right_hand	3.15a MDS-UPDRS - Postural Tremor Of Right Hand (UPD2315A)	Normal | Slight | Mild | Moderate | Severe			false
508	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2315b_postural_tremor_of_left_hand	3.15b MDS-UPDRS - Postural Tremor Of Left Hand (UPD2315B)	Normal | Slight | Mild | Moderate | Severe			false
509	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2316a_kinetic_tremor_of_right_hand	3.16a MDS-UPDRS - Kinetic Tremor Of Right Hand (UPD2316A)	Normal | Slight | Mild | Moderate | Severe			false
510	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2316b_kinetic_tremor_of_left_hand	3.16b MDS-UPDRS - Kinetic Tremor Of Left Hand (UPD2316B)	Normal | Slight | Mild | Moderate | Severe			false
511	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2317a_rest_tremor_amplitude_right_upper_extremity	3.17a MDS-UPDRS - Rest Tremor Amplitude Right Upper Extremity (UPD2317A)	Normal | Slight | Mild | Moderate | Severe			false
512	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2317b_rest_tremor_amplitude_left_upper_extremity	3.17b MDS-UPDRS - Rest Tremor Amplitude Left Upper Extremity (UPD2317B)	Normal | Slight | Mild | Moderate | Severe			false
513	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2317c_rest_tremor_amplitude_right_lower_extremity	3.17c MDS-UPDRS - Rest Tremor Amplitude Right Lower Extremity (UPD2317C)	Normal | Slight | Mild | Moderate | Severe			false
514	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2317d_rest_tremor_amplitude_left_lower_extremity	3.17d MDS-UPDRS - Rest Tremor Amplitude Left Lower Extremity (UPD2317D)	Normal | Slight | Mild | Moderate | Severe			false
515	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2317e_rest_tremor_amplitude_lip_or_jaw	3.17e MDS-UPDRS - Rest Tremor Amplitude Lip Or Jaw (UPD2317E)	Normal | Slight | Mild | Moderate | Severe			false
516	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2318_consistency_of_rest_tremor	3.18 MDS-UPDRS - Consistency Of Rest Tremor (UPD2318)	Normal | Slight | Mild | Moderate | Severe			false
517	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd23a_medication_for_pd	3a MDS-UPDRS - Medication For Parkinson's Disease (UPD23A)	No | Yes			false
518	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd23b_clinical_state_on_medication	3b MDS-UPDRS - Clinical State On Medication (UPD23B)	Off | On			false
519	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2401_time_spent_with_dyskinesias	4.01 MDS-UPDRS - Time Spent With Dyskinesias (UPD2401)	Normal | Slight | Mild | Moderate | Severe			false
520	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2402_functional_impact_of_dyskinesias	4.02 MDS-UPDRS - Functional Impact Of Dyskinesias (UPD2402)	Normal | Slight | Mild | Moderate | Severe			false
521	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2403_time_spent_in_the_off_state	4.03 MDS-UPDRS - Time Spent In The Off State (UPD2403)	Normal | Slight | Mild | Moderate | Severe			false
522	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2404_functional_impact_of_fluctuations	4.04 MDS-UPDRS - Functional Impact Of Fluctuations (UPD2404)	Normal | Slight | Mild | Moderate | Severe			false
523	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2405_complexity_of_motor_fluctuations	4.05 MDS-UPDRS - Complexity Of Motor Fluctuations (UPD2405)	Normal | Slight | Mild | Moderate | Severe			false
